"Nome Completo";"Nome para Urna Eletronica";"Numero do Candidato";"Situacao";"Sigla do Partido";"Numero do Partido";"Nome da Coligacao";"Composicao da Coligacao";"Cargo";"Sexo";"Data de Nascimento";"Estado Civil";"Ocupacao";"Grau de Instrucao";"Nacionalidade";"Municipio/UF de Nascimento";"Julgamento da Prest. de Contas";"Resultado da Eleicao";"Numero Protocolo";"Numero Processo";"CNPJ de Campanha"
"ADILSON JORGE ROSSY DOS SANTOS";"ROSSY DA AUTO ESCOLA";14789;"APTO (Deferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1965-01-19";"Divorciado(a)";"Empresário";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";418212010;"4627-32.2010.6.13.0000";"12.167.517/0001-59"
"ADILSON MARCIANO ROSA";"DR. ADILSON ROSA";22444;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1957-06-22";"Casado(a)";"Médico";"Superior completo";"Brasileira nata";"VERGINHA / MG";;"Suplente";411632010;"3987-29.2010.6.13.0000";"12.204.286/0001-06"
"ADILSON SILVA";"ADILSON SERRALHEIRO E CORREDOR";50313;"INAPTO (Indeferido)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1947-07-11";"Casado(a)";"Comerciante";"Ensino Fundamental incompleto";"Brasileira nata";"RAUL SOARES / MG";;;422352010;"3703-21.2010.6.13.0000";"12.172.663/0001-72"
"ADONIAS MARINS BARBOSA";"MARINS";14544;"INAPTO (Renúncia)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1948-07-11";"Separado(a) judicialmente";"Outros";"Ensino Médio completo";"Brasileira nata";"ALEGRE / ES";;;418222010;"4628-17.2010.6.13.0000";"12.175.023/0001-16"
"AECIO PASCOAL DA FONSECA";"AECIO PASCOAL";33433;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1956-05-17";"Divorciado(a)";"Servidor Público Federal";"Superior completo";"Brasileira nata";"BOM DESPACHO / MG";;"Suplente";406382010;"3761-24.2010.6.13.0000";"12.176.790/0001-40"
"AERSON CORREIA DE MEDEIROS";"AERSON";27123;"APTO (Deferido)";"PSDC";27;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1955-12-23";"Casado(a)";"Comerciante";"Ensino Médio completo";"Brasileira nata";"ALAGOA GRANDE / PE";;"Suplente";406392010;"3762-09.2010.6.13.0000";"12.179.507/0001-33"
"AFONSO GOMES DE OLIVEIRA";"AFONSO GOMES";17645;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1963-03-27";"Casado(a)";"Empresário";"Ensino Médio completo";"Brasileira nata";"ITANHOMI / MG";;"Suplente";406402010;"3763-91.2010.6.13.0000";"12.206.394/0001-18"
"AGILDO JOSÉ DOS REIS";"AGILDO REIS";20115;"APTO (Deferido)";"PSC";20;0;0;"Deputado Estadual";"Masculino";"1971-01-29";"Solteiro(a)";"Vereador";"Ensino Médio completo";"Brasileira nata";"RIO POMBA / MG";;"Suplente";412652010;"4079-07.2010.6.13.0000";"12.181.006/0001-91"
"AGOSTINHO CÉLIO ANDRADE PATRUS";"AGOSTINHO PATRUS FILHO";43500;"APTO (Deferido)";"PV";43;0;0;"Deputado Estadual";"Masculino";"1971-07-01";"Casado(a)";"Deputado";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Eleito";410372010;"3931-93.2010.6.13.0000";"12.191.460/0001-23"
"AGOSTINHO CESAR VALENTE";"AGOSTINHO VALENTE";12121;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1948-08-28";"Divorciado(a)";"Aposentado (Exceto Servidor Público)";"Superior completo";"Brasileira nata";"CARANGOLA / MG";;"Suplente";429152010;"5243-07.2010.6.13.0000";"12.189.827/0001-74"
"AIMAR DOS SANTOS RIBEIRO";"AIMAR DO CARTORIO";33666;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1940-02-28";"Casado(a)";"Tabelião";"Superior completo";"Brasileira nata";"GUIDOVAL / MG";;"Suplente";406412010;"3764-76.2010.6.13.0000";"12.169.138/0001-06"
"ALAN WILLIAN SOUZA DE OLIVEIRA";"ALAN";36700;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1984-05-27";"Solteiro(a)";"Programador de Computador";"Ensino Médio completo";"Brasileira nata";"LEOPOLDINA / MG";;"Suplente";414902010;"4298-20.2010.6.13.0000";"12.170.083/0001-46"
"ALBERDAN BRAZ SOARES";"ALBERDAN DA CONTABILIDADE";50624;"APTO (Deferido)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1976-11-25";"Divorciado(a)";"Contador";"Ensino Médio completo";"Brasileira nata";"TEOFILO OTONI / MG";;"Não eleito";422362010;"3704-06.2010.6.13.0000";"12.168.888/0001-55"
"ALBERTO MAGNO DA ROCHA SILVA";"ALBERTO MAGNO";43555;"APTO (Deferido)";"PV";43;0;0;"Deputado Estadual";"Masculino";"1964-10-29";"Casado(a)";"Policial Militar";"Superior completo";"Brasileira nata";"CONCEIÇÃO DO RIO VERDE / MG";;"Suplente";410382010;"3932-78.2010.6.13.0000";"12.180.601/0001-02"
"ALCIDES RIBEIRO DOS SANTOS";"ALCIDES RIBEIRO";17100;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1962-10-06";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"UNAI / MG";;"Suplente";406422010;"3765-61.2010.6.13.0000";"12.177.174/0001-03"
"ALDIÉRIO FLORÊNCIO PEREIRA";"ALDIÉRIO FLORÊNCIO PEREIRA";16316;"APTO (Deferido)";"PSTU";16;0;0;"Deputado Estadual";"Masculino";"1976-10-11";"Casado(a)";"Trabalhador Metalúrgico e Siderúrgico";"Ensino Médio completo";"Brasileira nata";"SANTO ANDRÉ / SP";;"Não eleito";414702010;"4222-93.2010.6.13.0000";"12.167.448/0001-83"
"ALDOU SANTOS PEREIRA";"ALDOU ""A SURPRESA""";20300;"INAPTO (Indeferido)";"PSC";20;0;0;"Deputado Estadual";"Masculino";"1968-06-03";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"MEDEIROS NETO / BA";;;583592010;"6219-14.2010.6.13.0000";"12.339.050/0001-87"
"ALENCAR MAGALHÃES DA SILVEIRA JUNIOR";"ALENCAR DA SILVEIRA JR";12212;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1962-01-12";"Casado(a)";"Deputado";"Superior completo";"Brasileira nata";"SETE LAGOAS / MG";;"Eleito";429162010;"5244-89.2010.6.13.0000";"12.190.698/0001-34"
"ALESSANDRO BERTOLIN DE PAIVA";"ALESSANDRO BERTOLIN";33889;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1970-09-22";"Casado(a)";"Empresário";"Ensino Fundamental completo";"Brasileira nata";"RIO DE JANEIRO / RJ";;"Suplente";406432010;"3766-46.2010.6.13.0000";"12.180.658/0001-01"
"ALESSANDRO DIAS TEIXEIRA";"ALESSANDRO DIAS";20000;"APTO (Deferido)";"PSC";20;0;0;"Deputado Estadual";"Masculino";"1969-12-12";"Casado(a)";"Joalheiro e Ourives";"Ensino Fundamental incompleto";"Brasileira nata";"GOVERNADOR VALADARES / MG";;"Suplente";412662010;"4080-89.2010.6.13.0000";"12.241.687/0001-36"
"ALESSANDRO HENRIQUE FERREIRA";"ALESSANDRO HENRIQUE";23111;"APTO (Deferido)";"PPS";23;0;0;"Deputado Estadual";"Masculino";"1973-05-03";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"SÃO PAULO / SP";;"Suplente";419502010;"4748-60.2010.6.13.0000";"12.180.545/0001-06"
"ALEXANDER NASARIO MORAES";"ÁLAX NASÁRIO";13580;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1976-04-22";"Solteiro(a)";"Escritor e Crítico";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";420242010;"4776-28.2010.6.13.0000";"12.169.259/0001-40"
"ALEXANDRA POLICARPO DOS SANTOS";"ALEXANDRA POLICARPO";33107;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Feminino";"1975-12-28";"Casado(a)";"Outros";"Superior incompleto";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";522302010;"5804-31.2010.6.13.0000";"12.262.744/0001-63"
"ALEXANDRE ALVES NOVAIS";"ALEXANDRE NOVAIS";43888;"APTO (Deferido)";"PV";43;0;0;"Deputado Estadual";"Masculino";"1978-08-23";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"DIADEMA / SP";;"Suplente";585002010;"6240-87.2010.6.13.0000";"12.332.314/0001-70"
"ALEXANDRE ANTÔNIO DINIZ AVELAR";"CABO AVELAR";22193;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1974-11-03";"Casado(a)";"Servidor Público Estadual";"Superior incompleto";"Brasileira nata";"MATEUS LEME / MG";;"Suplente";411642010;"3988-14.2010.6.13.0000";"12.167.603/0001-61"
"ALEXANDRE AUGUSTO VIANNA COSTA";"DOUTOR ALEXANDRE VIANNA";36987;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1970-10-07";"Solteiro(a)";"Médico";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";414912010;"4299-05.2010.6.13.0000";"12.181.163/0001-05"
"ALEXANDRE CASSIMIRO BERTOLINO LAMOUNIER";"LAMOUNIER";40333;"APTO (Deferido)";"PSB";40;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1981-01-14";"Casado(a)";"Empresário";"Superior incompleto";"Brasileira nata";"LUZ / MG";;"Suplente";418232010;"4629-02.2010.6.13.0000";"12.169.119/0001-71"
"ALEXANDRE DE FARIA MARTINS DA COSTA";"ALEXANDRE BANANA";13500;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1962-10-14";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"ITABIRA / MG";;"Suplente";431382010;"5366-05.2010.6.13.0000";"12.190.967/0001-62"
"ALEXANDRE DE MACEDO MATTOS";"ALEXANDRE MACEDO KUBU";31444;"APTO (Deferido)";"PHS";31;"PHS/PTN";"PTN / PHS";"Deputado Estadual";"Masculino";"1964-10-08";"Casado(a)";"Gerente";"Ensino Médio incompleto";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";423472010;"4933-98.2010.6.13.0000";"12.177.312/0001-54"
"ALEXANDRE DE PAULA RIBEIRO";"ALEXANDRE CTA";44044;"APTO (Deferido)";"PRP";44;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1970-04-27";"Solteiro(a)";"Fiscal de Transporte Coletivo";"Superior incompleto";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";416072010;"4368-37.2010.6.13.0000";"12.179.930/0001-33"
"ALEXANDRE FAUSTINO DE ARAUJO";"ALEXANDRE LECO";33336;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1975-12-11";"Solteiro(a)";"Aposentado (Exceto Servidor Público)";"Ensino Médio incompleto";"Brasileira nata";"IBIRITÉ / MG";;"Suplente";406442010;"3767-31.2010.6.13.0000";"12.167.392/0001-67"
"ALEXANDRE MAIA LEMOS";"ALEXANDRE MAIA";15015;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1960-02-28";"Casado(a)";"Veterinário";"Superior completo";"Brasileira nata";"PASSOS / MG";;"Suplente";423882010;"4962-51.2010.6.13.0000";"12.175.650/0001-57"
"ALINE PAOLA DE SOUSA CHAVES";"ALINE PAOLA CHAVES";44004;"INAPTO (Indeferido)";"PRP";44;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Feminino";"1981-04-28";"Solteiro(a)";"Professor de Ensino Médio";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;;416082010;"4370-07.2010.6.13.0000";"12.304.534/0001-90"
"ALMIR PARACA CRISTOVÃO CARDOSO";"ALMIR PARACA";13671;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1962-08-24";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"PARACATU / MG";;"Eleito";420252010;"4778-95.2010.6.13.0000";"12.176.967/0001-08"
"ALOIZIO PENIDO BERTHO";"ALOIZIO PENIDO";31345;"APTO (Deferido)";"PHS";31;"PHS/PTN";"PTN / PHS";"Deputado Estadual";"Masculino";"1953-02-09";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"MAR DE ESPANHA / MG";;"Suplente";423482010;"4934-83.2010.6.13.0000";"12.173.689/0001-35"
"ALTAIR JUNIOR DA SILVA";"JUNINHO";22007;"INAPTO (Renúncia)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1965-11-24";"Casado(a)";"Servidor Público Federal";"Superior completo";"Brasileira nata";"CARMOPOLIS DE MINAS / MG";;;411652010;"3989-96.2010.6.13.0000";"12.177.546/0001-00"
"ALTAIR VINÍCIUS PIMENTEL CAMPOS";"CAMPOS JÚNIOR";28628;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1980-03-11";"Solteiro(a)";"Advogado";"Superior completo";"Brasileira nata";"MANHUAÇU / MG";;"Suplente";414922010;"4300-87.2010.6.13.0000";"12.169.133/0001-75"
"ALUISIO MOTTA PALHARES";"ALUISIO PALHARES";15615;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1964-08-17";"Divorciado(a)";"Empresário";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";423892010;"4963-36.2010.6.13.0000";"12.177.712/0001-60"
"ALVARO ALVES PINTO";"ALVINHO";50560;"APTO (Deferido)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1943-05-20";"Divorciado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Fundamental completo";"Brasileira nata";"PAPAGAIOS / MG";;"Não eleito";422372010;"3705-88.2010.6.13.0000";"12.171.227/0001-89"
"AMARILDO DE OLIVEIRA";"AMARILDO DE OLIVEIRA";13600;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1962-10-19";"Casado(a)";"Advogado";"Superior completo";"Brasileira nata";"BALDIM / MG";;"Suplente";420262010;"4780-65.2010.6.13.0000";"12.176.765/0001-66"
"AMAURI DO PRADO";"AMAURI PRADO";23577;"APTO (Deferido)";"PPS";23;0;0;"Deputado Estadual";"Masculino";"1964-06-27";"Casado(a)";"Servidor Público Federal";"Superior completo";"Brasileira nata";"BETIM / MG";;"Suplente";419522010;"4754-67.2010.6.13.0000";"12.177.602/0001-06"
"AMAURI WAGNER RODRIGUES PEREIRA";"AMAURI RODRIGUES";36120;"INAPTO (Indeferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1967-07-25";"Casado(a)";"Auxiliar de Escritório e Assemelhados";"Superior completo";"Brasileira nata";"CONCEIÇÃO DA VARGEM-MG / MG";;"Registro negado antes da eleição";414932010;"4301-72.2010.6.13.0000";"12.180.723/0001-07"
"AMERICO ALEXANDRE CIANFARANI XAVIER";"AMERICO XAVIER";28285;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1974-04-23";"Solteiro(a)";"Empresário";"Ensino Médio completo";"Brasileira nata";"SAO CAETANO DO SUL / SP";;"Suplente";414942010;"4302-57.2010.6.13.0000";"12.173.005/0001-03"
"ANA CAROLINA PONTELO CANABRAVA";"CAROL CANABRAVA";33600;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Feminino";"1979-11-26";"Solteiro(a)";"Comerciante";"Superior completo";"Brasileira nata";"SETE LAGOAS / MG";;"Suplente";585152010;"6242-57.2010.6.13.0000";"12.332.332/0001-52"
"ANA MACEDO DOS SANTOS";"ANA MACEDO";36135;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Feminino";"1955-10-13";"Solteiro(a)";"Cabeleireiro e Barbeiro";"Ensino Fundamental incompleto";"Brasileira nata";"NOVA VIÇOSA / BA";;"Suplente";414952010;"4303-42.2010.6.13.0000";"12.179.450/0001-72"
"ANA MARIA DE RESENDE VIEIRA";"ANA MARIA";45789;"APTO (Deferido)";"PSDB";45;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Feminino";"1945-09-19";"Casado(a)";"Deputado";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";417042010;"4473-14.2010.6.13.0000";"12.177.380/0001-13"
"ANDERSON ARÁUJO MACIEL";"ANDERSON ARAÚJO";12678;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1988-03-11";"Solteiro(a)";"Técnico de Mecânica";"Ensino Médio completo";"Brasileira nata";"SÃO PAULO / SP";;"Suplente";429172010;"5245-74.2010.6.13.0000";"12.189.785/0001-71"
"ANDERSON DE VASCONCELOS CHAVES";"ANDERSON CHAVES";15180;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1968-01-15";"Solteiro(a)";"Produtor Agropecuário";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";423902010;"4964-21.2010.6.13.0000";"12.179.634/0001-32"
"ANDERSON JOSE RIBEIRO SALEME";"ANDERSON SALEME";22123;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1972-02-29";"Solteiro(a)";"Vereador";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";411662010;"3990-81.2010.6.13.0000";"12.181.722/0001-79"
"ANDERSON MAGNO DA SILVA";"ANDERSON MAGNO";70678;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1973-02-14";"Casado(a)";"Comerciante";"Ensino Médio completo";"Brasileira nata";"TIMOTEO / MG";;"Suplente";416092010;"4373-59.2010.6.13.0000";"12.180.117/0001-83"
"ANDERSON MARQUES";"ANDERSON GARÇOM";43333;"APTO (Deferido)";"PV";43;0;0;"Deputado Estadual";"Masculino";"1969-06-25";"Casado(a)";"Vereador";"Ensino Fundamental completo";"Brasileira nata";"LAVRAS / MG";;"Suplente";410392010;"3933-63.2010.6.13.0000";"12.180.230/0001-69"
"ANDERSON WILLIAN DOS SANTOS";"ANDERSON SANTOS";16216;"INAPTO (Indeferido)";"PSTU";16;0;0;"Deputado Estadual";"Masculino";"1968-06-29";"Casado(a)";"Trabalhador Metalúrgico e Siderúrgico";"Ensino Médio completo";"Brasileira nata";"BOM DESPACHO / MG";;;414712010;"4223-78.2010.6.13.0000";"12.179.849/0001-53"
"ANDERSON XAVIER";"PROFESSOR ANDERSON";10001;"APTO (Deferido)";"PRB";10;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1963-03-12";"Casado(a)";"Farmacêutico";"Superior completo";"Brasileira nata";"ARAGUARI / MG";;"Suplente";420272010;"4782-35.2010.6.13.0000";"12.169.508/0001-05"
"ANDRE LUIZ DE ASSUNCAO";"ANDRE LUIZ";70011;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1981-08-05";"Casado(a)";"Outros";"Ensino Fundamental completo";"Brasileira nata";"ITAUNA / MG";;"Suplente";416102010;"4375-29.2010.6.13.0000";"12.169.562/0001-42"
"ANDRE LUIZ NASCIMENTO VILELA";"ANDRE VILELA";15999;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1965-09-05";"Casado(a)";"Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados";"Ensino Médio completo";"Brasileira nata";"ITUIUTABA / MG";;"Suplente";423912010;"4965-06.2010.6.13.0000";"12.178.107/0001-03"
"ANDRÉ NOGUEIRA DE ÁVILA";"ANDRÉ NOGUEIRA DE ÁVILA";16162;"APTO (Deferido)";"PSTU";16;0;0;"Deputado Estadual";"Masculino";"1984-01-26";"Solteiro(a)";"Professor de Ensino Médio";"Superior completo";"Brasileira nata";"JUIZ DE FORA / MG";;"Não eleito";414722010;"4224-63.2010.6.13.0000";"12.169.719/0001-30"
"ANDRÉ QUINTÃO SILVA";"ANDRÉ QUINTÃO";13555;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1964-08-05";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Eleito";420282010;"4783-20.2010.6.13.0000";"12.176.837/0001-75"
"ANDRE REZENDE PEREIRA";"ANDRE REZENDE";70033;"INAPTO (Renúncia)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1976-10-21";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"CONTAGEM / MG";;;416112010;"4377-96.2010.6.13.0000";"12.181.439/0001-47"
